FSC	SSC	FL1	FL3	FL4
745	1207	1977	2397	0
0	1242	2428	2464	0
497	1256	1733	2369	0
1097	1078	1601	337	0
950	1123	1888	2541	0
582	1317	0	2430	0
57	1082	1656	2457	0
453	1030	2424	1615	0
958	1001	1865	2867	0
1102	1250	1699	2234	0
0	1082	0	1982	0
883	952	1875	2305	0
0	947	0	2248	0
684	1288	1978	2389	0
749	1800	1656	2408	0
948	1609	1541	2479	0
852	1459	0	2321	0
860	2033	32	2417	0
0	1054	0	2405	0
0	1061	1445	117	0
788	1004	1754	2454	0
134	1078	2192	2354	0
732	1360	1019	2389	0
328	1498	1919	2141	0
1963	1933	1530	2376	0
0	1232	1730	2366	0
308	1071	1639	832	0
0	1215	1720	2333	0
2499	2529	2139	2665	0
853	1640	1738	1873	0
1149	1244	2133	2211	0
0	1378	0	2207	0
1041	1701	1708	0	0
0	1284	1846	2487	0
1004	1064	0	783	0
0	1191	278	2275	0
164	1049	0	2436	0
85	1359	1893	2461	0
1333	1329	2085	2533	0
2718	2035	1953	2113	0
2431	2237	1257	2432	0
998	1207	1750	2418	0
287	1124	1797	2364	0
0	1020	0	2440	0
1239	1375	1973	0	0
0	1223	1880	2454	0
515	1520	3085	2376	0
0	1076	0	2240	0
1794	2036	2694	2473	0
850	1384	1866	2626	0
357	1630	0	2297	0
0	1126	1696	2515	0
998	1289	0	2408	0
881	1603	284	2769	0
0	1141	0	1815	0
526	1164	2749	2267	0
1875	1892	2691	2544	0
1852	1624	0	2564	0
2181	1721	2526	2393	0
0	1957	0	0	0
0	1130	1409	2108	0
0	1371	0	1491	0
804	1356	0	1385	0
1139	1444	2856	2229	0
0	1173	88	2218	0
780	1638	1827	2445	0
31	1243	1880	0	0
244	1142	1567	409	0
17	1331	995	793	0
1165	1480	2053	2289	0
714	1216	1744	2462	0
0	1298	0	2351	0
323	1563	1852	2415	0
36	1489	150	2625	0
1884	1869	2446	2434	0
0	1028	0	2125	0
995	1461	1734	2152	0
0	1283	1999	2247	0
918	1367	1632	1281	0
0	1233	1658	2609	0
886	1051	1892	0	0
0	1969	1964	0	0
614	1382	1478	2112	0
392	1698	1808	2325	0
425	998	1964	2192	0
1034	1657	1318	2401	0
716	1032	1656	2438	0
0	1025	195	2612	0
86	1597	1754	2604	0
391	1551	1783	0	0
507	1585	1772	2478	0
434	1290	1296	2440	0
0	1144	2033	2376	0
51	1554	1412	1937	0
535	1476	2825	2535	0
207	1431	492	2287	0
0	1320	1719	2601	0
655	1105	703	33	0
1004	1919	0	2552	0
248	982	0	2319	0
0	1190	0	1570	0
981	1177	0	2493	0
1965	3753	1763	2492	0
0	1313	2173	2481	0
2425	2467	1864	2519	0
134	1372	1612	1945	0
1595	2270	2092	2596	0
0	1111	2083	2097	0
0	1409	1759	2047	0
0	1402	0	1943	0
345	1486	1697	2294	0
354	1325	0	2145	0
1906	2244	2884	2350	0
0	1645	1343	0	0
548	1304	317	2068	0
78	1821	0	2261	0
440	1010	2888	2293	0
629	1130	0	2095	0
236	1658	1653	67	0
640	1343	1711	2151	0
2006	2354	1938	2285	0
0	1171	1814	1768	0
1445	1894	1673	2413	0
0	1359	1464	173	0
646	1176	2037	369	0
0	1192	1722	2236	0
1542	2409	1709	2264	0
535	1125	1983	2292	0
607	1261	1516	0	0
0	1007	1822	2458	0
359	1030	1978	2460	0
7	1493	1614	1995	0
1021	1210	0	2459	0
0	1313	1683	2354	0
1205	1106	2605	2483	0
61	1227	1653	2365	0
0	1144	1741	2485	0
3189	3173	2176	2521	0
1661	2042	2269	2046	0
1353	1893	1752	2357	0
1958	2230	2742	2525	0
1153	1657	1731	2655	0
363	1539	1754	2675	0
1065	1421	0	0	0
1524	1156	1928	2691	0
0	1409	1541	2343	0
334	1541	0	2208	0
2115	2344	604	2249	0
578	1444	225	2331	0
0	999	1737	1985	0
623	1100	2709	2391	0
586	1396	1580	2537	0
1241	1417	0	2426	0
231	1626	1129	2588	0
1452	1666	3036	2516	0
0	1916	509	2407	0
473	1179	1826	1916	0
491	1386	2022	1740	0
785	1429	900	1976	0
595	1191	1655	1754	0
217	1328	1975	2383	0
0	1497	1327	2329	0
0	1414	1612	2703	0
306	1408	0	2398	0
947	1476	2853	2726	0
396	1711	2100	2331	0
904	1385	0	0	0
517	1416	1766	2545	0
99	1501	1571	2257	0
796	1206	1926	2198	0
1270	1120	8	2126	0
628	1318	0	2264	0
772	1392	1798	2534	0
0	1570	1753	2760	0
899	1306	433	1753	0
0	987	0	2547	0
714	1377	1948	2531	0
678	1787	3096	2635	0
0	1304	2292	2228	0
635	1120	0	2247	0
284	1245	1660	2356	0
0	1120	945	2290	0
1489	1759	1669	418	0
1160	1199	1655	2121	0
1251	1721	2348	2411	0
264	1512	1338	2231	0
996	951	1560	2305	0
913	1421	1898	2084	0
680	1680	1646	2111	0
653	1119	1932	76	0
115	1160	2085	2261	0
366	1102	1946	2176	0
908	1016	1717	2281	0
770	1485	1901	2261	0
1012	1025	1838	2305	0
330	1066	0	2588	0
265	1265	0	0	0
0	2747	0	2287	0
347	1301	1689	2638	0
772	1127	1504	1346	0
377	1399	1766	848	0
0	1496	1036	2268	0
96	1240	1915	1995	0
627	1184	1485	2373	0
2	1225	1837	2093	0
901	1084	404	0	0
375	1345	1805	2532	0
1825	2089	1816	2413	0
1118	1684	1771	2299	0
1101	1037	0	441	0
0	1243	1736	2388	0
1199	1142	1857	2309	0
142	1153	1545	2375	0
34	1026	0	2158	0
416	1642	1840	2479	0
0	1409	1810	2481	0
0	1041	1473	2411	0
0	1070	1346	2257	0
0	1477	1688	2429	0
691	1124	2010	2401	0
602	1172	1965	2307	0
338	1239	1732	2543	0
1723	1938	0	0	0
365	966	2078	2484	0
790	1527	745	2239	0
317	1627	1544	2405	0
739	1096	2756	1921	0
0	1865	0	2579	0
541	1579	0	2360	0
713	951	1603	2157	0
827	1422	2545	2406	0
0	1285	1691	2402	0
0	1020	867	2138	0
0	1266	1774	2009	0
0	1418	1807	2539	0
589	1077	0	2298	0
1037	1254	2780	2601	0
606	1088	1907	2139	0
0	1351	2026	2555	0
663	1445	1994	2550	0
997	1688	1455	2572	0
672	1255	1765	2489	0
1333	1097	1856	2465	0
491	1612	1969	2520	0
539	1207	0	2354	0
120	1234	2156	2631	0
621	1181	1962	2316	0
0	1341	1613	625	0
85	1547	1909	2650	0
429	1747	1877	2586	0
0	1013	412	2351	0
0	1242	1796	2301	0
0	959	1500	2148	0
0	1170	1924	2027	0
2013	2587	0	2521	0
0	1057	1819	348	0
0	1408	0	908	0
0	1209	1243	1402	0
1188	1864	3068	2685	0
638	1529	0	2213	0
625	1442	1866	2268	0
0	1222	2016	1892	0
0	1339	759	1780	0
772	1380	1300	2519	0
1775	1906	2241	2619	0
834	1454	1894	2168	0
0	1807	2580	2700	0
1295	1482	1349	2225	0
359	1182	0	2295	0
418	1226	0	2685	0
0	1432	1856	2148	0
491	1463	2874	2197	0
0	1186	1872	0	0
870	1139	1610	2372	0
668	1662	2819	1711	0
1306	2097	1824	2431	0
234	1328	0	2133	0
320	2306	1477	2364	0
2059	2054	1811	99	0
59	1070	575	869	0
1009	1300	1112	2524	0
762	1566	1915	2209	0
0	1256	1728	2396	0
305	1068	1809	2237	0
0	1147	1267	0	0
574	1063	1513	343	0
0	1527	1705	2162	0
1210	1775	1628	842	0
462	1621	0	2232	0
1713	1963	3010	2467	0
0	1541	0	2169	0
101	2005	1169	2253	0
1369	1571	2563	2555	0
1087	1519	2922	1674	0
670	1197	1969	2363	0
0	1281	1486	2344	0
2001	2343	1853	2397	0
0	1148	533	2300	0
1226	1533	1658	2365	0
559	1165	1802	1723	0
0	1053	1940	2453	0
3003	2363	1021	2397	0
494	1235	0	0	0
817	1108	1025	2273	0
1339	1645	1921	0	0
847	1184	1581	2555	0
0	2022	0	2189	0
0	1224	1712	0	0
683	1089	1943	1759	0
590	1182	2845	2260	0
1496	1359	2513	2590	0
0	1603	0	2506	0
0	1804	1984	2514	0
931	1247	1756	2616	0
494	1302	867	0	0
985	1545	2696	2600	0
0	1174	1826	2225	0
497	1353	0	2242	0
6	1116	1761	2434	0
1618	1447	2320	2733	0
1111	1042	1952	2481	0
0	1427	0	1868	0
162	1061	1808	2446	0
405	1144	2026	2479	0
0	1526	1833	2450	0
1072	972	1714	2473	0
0	1165	1296	2311	0
237	1297	1618	2277	0
1061	1441	1165	2246	0
0	1064	0	0	25
482	1152	179	2350	0
105	1331	1519	2696	0
1032	2033	1611	2317	0
