 	id_cell	Frame	Level:	Parent:	Intensity:	Center:	Diameter:	Division:
228	513	53	1	1	38.201	207	50	0
229	513	54	1	1	41.714	236	61	0
230	513	55	1	1	45.151	265	63	0
231	513	56	1	1	48.236	313	72	1
232	1025	58	1	1	30.166	160	87	0
233	1025	59	1	1	30.498	186	123	0
234	1025	60	1	1	34.110	216	71	1
235	1025	61	1	1	39.603	250	83	0
236	1025	62	1	1	44.821	289	89	1
237	2049	61	1	1	39.679	86	38	0
238	2049	62	1	1	40.847	100	48	0
239	2049	63	1	1	41.504	112	54	0
240	2049	64	1	1	42.928	125	60	0
241	2049	65	1	1	44.170	147	72	0
242	2049	66	1	1	47.587	166	41	1
243	2049	67	1	1	45.822	199	55	0
244	2049	68	1	1	45.313	214	55	0
245	2049	69	1	1	45.585	254	65	0
246	2049	70	1	1	44.044	286	70	0
247	2049	71	1	1	58.043	251	41	1
248	2049	72	1	1	54.473	292	50	0
249	2049	73	1	1	55.285	334	54	0
250	4097	67	1	1	53.335	98	51	0
251	4097	68	1	1	50.422	106	59	0
252	4097	69	1	1	52.246	129	68	0
253	4097	70	1	1	53.107	146	78	0
254	4097	71	1	1	62.527	168	45	1
255	4097	72	1	1	64.983	195	53	0
256	4097	73	1	1	71.680	222	56	0
257	4097	74	1	1	68.810	253	67	0
258	4097	75	1	1	68.599	290	80	0
259	4097	76	1	1	64.403	293	48	1
260	4097	77	1	1	68.716	338	53	0
261	8193	71	1	1	52.379	80	42	0
262	8193	72	1	1	49.112	93	45	0
263	8193	73	1	1	50.871	106	50	0
264	8193	74	1	1	49.549	120	59	0
265	8193	75	1	1	54.100	136	67	0
266	8193	76	1	1	55.186	158	38	1
267	8193	77	1	1	57.294	177	42	0
268	8193	78	1	1	54.198	207	49	0
269	8193	79	1	1	48.695	235	62	0
270	8193	80	1	1	47.205	263	65	0
271	8193	81	1	1	47.090	300	72	0
272	8193	82	1	1	48.718	307	44	1
273	8193	83	1	1	59.699	307	60	0
274	16385	76	1	1	46.119	81	39	0
275	16385	77	1	1	46.538	97	47	0
276	16385	78	1	1	47.327	104	52	0
277	16385	79	1	1	44.661	118	60	0
278	16385	80	1	1	45.250	132	66	1
279	16385	81	1	1	44.800	151	75	0
280	16385	82	1	1	42.806	176	87	0
281	16385	83	1	1	42.823	198	59	1
282	16385	84	1	1	54.910	283	58	0
283	16385	85	1	1	53.511	320	62	0
284	16385	86	1	1	50.830	333	43	0
285	16385	87	1	1	41.538	340	43	1
286	32769	80	1	1	50.839	66	32	0
287	32769	81	1	1	51.954	76	35	0
288	32769	82	1	1	49.288	89	43	0
289	32769	83	1	1	48.185	100	49	0
290	32769	84	1	1	47.790	112	54	0
291	32769	85	1	1	49.895	125	60	0
292	32769	86	1	1	50.429	140	67	1
293	32769	87	1	1	49.371	165	41	0
294	32769	88	1	1	52.601	184	43	0
295	32769	89	1	1	54.327	207	47	0
296	32769	90	1	1	53.479	236	56	0
297	32769	91	1	1	54.220	269	66	0
298	32769	92	1	1	57.032	275	38	1
299	32769	93	1	1	55.026	278	45	0
300	32769	94	1	1	57.326	315	44	0
301	32769	95	1	1	56.708	360	62	0
302	65537	86	1	1	54.081	73	32	0
303	65537	87	1	1	57.330	83	41	0
304	65537	88	1	1	61.791	94	43	0
305	65537	89	1	1	66.021	105	48	0
306	65537	90	1	1	65.064	120	51	0
307	65537	91	1	1	61.635	138	62	0
308	65537	92	1	1	59.894	159	71	1
309	65537	93	1	1	58.102	183	43	0
310	65537	94	1	1	55.899	207	47	0
311	65537	95	1	1	53.384	234	58	0
312	65537	96	1	1	49.904	272	70	0
313	65537	97	1	1	47.974	308	76	0
314	65537	98	1	1	50.087	308	39	1
315	65537	99	1	1	48.600	351	50	0
316	65537	100	1	1	47.075	399	56	0
317	131073	92	1	1	56.271	88	47	0
318	131073	93	1	1	57.623	101	51	0
319	131073	94	1	1	59.161	112	57	0
320	131073	95	1	1	64.347	124	63	0
321	131073	96	1	1	64.242	142	72	0
322	131073	97	1	1	64.112	163	39	1
323	131073	98	1	1	62.146	188	50	0
324	131073	99	1	1	62.929	211	56	0
325	131073	100	1	1	61.308	235	63	0
326	131073	101	1	1	67.111	275	75	0
327	131073	102	1	1	70.424	278	39	1
328	131073	103	1	1	75.063	315	43	0
329	262145	100	1	1	42.121	110	45	0
330	262145	101	1	1	40.945	130	56	0
331	262145	102	1	1	37.768	157	65	0
332	262145	103	1	1	41.492	175	36	1
333	262145	104	1	1	42.666	203	41	0
334	262145	105	1	1	43.041	235	49	0
335	262145	106	1	1	41.958	274	59	0
336	262145	107	1	1	44.195	312	64	0
337	262145	108	1	1	45.120	359	73	1
338	262145	109	1	1	46.166	377	47	0
339	524289	102	1	1	39.539	92	51	0
340	524289	103	1	1	38.852	100	57	0
341	524289	104	1	1	39.589	118	66	0
342	524289	105	1	1	46.179	134	75	0
343	524289	106	1	1	58.737	152	39	1
344	524289	107	1	1	64.075	182	53	0
345	524289	108	1	1	71.490	207	57	0
346	524289	109	1	1	69.452	234	65	0
347	524289	110	1	1	68.712	264	72	0
348	524289	111	1	1	64.707	314	45	1
349	524289	112	1	1	62.689	313	47	0
350	524289	113	1	1	54.500	311	63	0
351	1048577	107	1	1	46.780	79	42	0
352	1048577	108	1	1	46.060	92	49	0
353	1048577	109	1	1	43.908	102	56	0
354	1048577	110	1	1	44.506	118	64	0
355	1048577	111	1	1	44.482	137	73	0
356	1048577	112	1	1	44.472	159	86	0
357	1048577	113	1	1	46.658	190	53	1
358	1048577	114	1	1	44.991	218	61	0
359	1048577	115	1	1	45.304	252	71	0
360	1048577	116	1	1	46.409	292	82	0
361	1048577	117	1	1	51.820	283	49	1
362	1048577	118	1	1	52.214	329	57	0
363	1048577	119	1	1	53.050	388	65	0
364	2097153	113	1	1	39.876	88	46	0
365	2097153	114	1	1	38.915	103	55	0
366	2097153	115	1	1	37.948	118	60	0
367	2097153	116	1	1	37.620	138	71	0
368	2097153	117	1	1	42.258	148	38	1
369	2097153	118	1	1	40.952	171	48	0
370	2097153	119	1	1	41.972	209	58	0
371	2097153	120	1	1	43.239	234	64	0
372	2097153	121	1	1	42.854	267	74	0
373	2097153	122	1	1	42.996	299	82	0
374	2097153	123	1	1	45.001	335	87	1
375	2097153	124	1	1	49.044	286	51	0
376	2097153	125	1	1	51.580	321	53	0
377	4194305	119	1	1	36.744	97	47	0
378	4194305	120	1	1	36.950	110	55	0
379	4194305	121	1	1	38.484	124	60	0
380	4194305	122	1	1	38.933	139	67	0
381	4194305	123	1	1	38.860	158	76	0
382	4194305	124	1	1	40.377	181	41	1
383	4194305	125	1	1	38.822	205	47	0
384	4194305	126	1	1	34.754	242	67	0
385	4194305	127	1	1	36.808	265	66	0
386	8388609	124	1	1	44.669	94	43	0
387	8388609	125	1	1	45.882	107	51	0
388	8388609	126	1	1	48.539	118	55	0
389	8388609	127	1	1	48.518	133	63	0
390	8388609	128	1	1	45.999	153	73	0
391	8388609	129	1	1	45.571	176	40	1
392	8388609	130	1	1	43.188	204	47	0
393	8388609	131	1	1	42.775	226	55	0
394	8388609	132	1	1	43.374	255	56	0
395	8388609	133	1	1	41.634	292	64	0
396	8388609	134	1	1	41.776	336	72	1
397	8388609	135	1	1	42.500	381	83	0
398	16777217	130	1	1	53.523	107	52	0
399	16777217	131	1	1	55.664	117	57	0
400	16777217	132	1	1	55.951	132	62	0
401	16777217	133	1	1	54.523	152	74	0
402	16777217	134	1	1	57.895	175	46	1
403	16777217	135	1	1	61.610	198	53	0
404	16777217	136	1	1	63.169	226	62	0
405	16777217	137	1	1	67.114	251	66	0
406	16777217	138	1	1	66.233	283	77	0
407	16777217	139	1	1	65.400	321	86	1
408	33554433	135	1	1	50.103	101	48	0
409	33554433	136	1	1	47.133	115	56	0
410	33554433	137	1	1	45.885	129	63	1
411	33554433	138	1	1	44.045	145	71	0
412	33554433	139	1	1	43.056	164	41	1
413	33554433	140	1	1	60.226	236	44	0
414	67108865	137	1	1	46.152	66	31	0
415	67108865	138	1	1	45.747	74	35	0
416	67108865	139	1	1	44.315	83	44	0
417	67108865	140	1	1	41.395	99	50	0
